# ntheta  nphi   nfp  isymm  isort
   101     72      4    2      9
# magnetic axis
# raxis       zaxis
 1.04391538E+01    8.27972304E-02
 1.04191919E+01    1.64456231E-01
 1.04191880E+01    2.72504779E-01
 1.04106344E+01    3.80189824E-01
 1.03935827E+01    4.86731527E-01
 1.03681843E+01    5.91363147E-01
 1.03346885E+01    6.93339537E-01
 1.02934394E+01    7.91945315E-01
 1.02448710E+01    8.86502632E-01
 1.01895013E+01    9.76378389E-01
 1.01279250E+01    1.06099085E+00
 1.00608055E+01    1.13981549E+00
 9.98886526E+00    1.21239011E+00
 9.91287594E+00    1.27831902E+00
 9.83364771E+00    1.33727632E+00
 9.75201792E+00    1.38900823E+00
 9.66883954E+00    1.43333444E+00
 9.58496942E+00    1.47014841E+00
 9.50125660E+00    1.49941675E+00
 9.41853075E+00    1.52117755E+00
 9.33759103E+00    1.53553785E+00
 9.25919551E+00    1.54267013E+00
 9.18405123E+00    1.54280804E+00
 9.11280515E+00    1.53624137E+00
 9.04603607E+00    1.52331027E+00
 8.98424767E+00    1.50439901E+00
 8.92786269E+00    1.47992917E+00
 8.87721848E+00    1.45035252E+00
 8.83256384E+00    1.41614364E+00
 8.79405729E+00    1.37779241E+00
 8.76176667E+00    1.33579642E+00
 8.73567027E+00    1.29065365E+00
 8.71565922E+00    1.24285518E+00
 8.70154125E+00    1.19287834E+00
 8.69304579E+00    1.14118030E+00
 8.68983011E+00    1.08819212E+00
 8.69148666E+00    1.03431350E+00
 8.69755127E+00    9.79908220E-01
 8.70751223E+00    9.25300250E-01
 8.72081996E+00    8.70770811E-01
 8.73689729E+00    8.16556205E-01
 8.75514993E+00    7.62846549E-01
 8.77497728E+00    7.09785406E-01
 8.79578305E+00    6.57470295E-01
 8.81698583E+00    6.05954070E-01
 8.83802926E+00    5.55247134E-01
 8.85839166E+00    5.05320444E-01
 8.87759501E+00    4.56109233E-01
 8.89521313E+00    4.07517398E-01
 8.91087886E+00    3.59422461E-01
 8.92429021E+00    3.11681002E-01
 8.93521536E+00    2.64134484E-01
 8.94349637E+00    2.16615349E-01
 8.94905162E+00    1.68953281E-01
 8.95187691E+00    1.20981525E-01
 8.95204520E+00    7.25431344E-02
 8.94970499E+00    2.34970588E-02
 8.94507737E+00   -2.62760651E-02
 8.93845184E+00   -7.68685056E-02
 8.93018085E+00   -1.28340519E-01
 8.92067329E+00   -1.80716013E-01
 8.91038692E+00   -2.33978870E-01
 8.89981997E+00   -2.88070010E-01
 8.88950193E+00   -3.42885232E-01
 8.87998378E+00   -3.98273913E-01
 8.87182773E+00   -4.54038554E-01
 8.86559681E+00   -5.09935238E-01
 8.86184418E+00   -5.65674961E-01
 8.86110269E+00   -6.20925853E-01
 8.86387456E+00   -6.75316255E-01
 8.87062155E+00   -7.28438606E-01
 8.88175564E+00   -7.79854094E-01
 8.89763056E+00   -8.29098002E-01
 8.91853405E+00   -8.75685672E-01
